event_type,simulation_time,message_id,pair_id,direction,source_user_id,target_user_id,source_access_satellite_id,target_access_satellite_id,delay_ms,hop_count,path_length,path_satellite_ids,note
arrival,6.050,case3-71-171-0,71,A_to_B,71,171,,103,104.404,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,6.050,case3-173-73-0,73,B_to_A,173,73,,234,77.389,8,10,383 358 333 308 283 258 233 234,
arrival,6.050,case3-123-23-0,23,B_to_A,123,23,,234,104.289,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
arrival,6.050,case3-171-71-0,71,B_to_A,171,71,,234,104.402,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
arrival,6.050,case3-175-75-0,75,B_to_A,175,75,,234,104.373,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
generate,6.250,case3-25-125-0,25,A_to_B,25,125,234,383,,,,,
generate,6.250,case3-26-126-0,26,A_to_B,26,126,353,383,,,,,
generate,6.250,case3-27-127-0,27,A_to_B,27,127,234,103,,,,,
generate,6.250,case3-28-128-0,28,A_to_B,28,128,234,359,,,,,
generate,6.250,case3-29-129-0,29,A_to_B,29,129,234,383,,,,,
generate,6.250,case3-30-130-0,30,A_to_B,30,130,353,79,,,,,
generate,6.250,case3-31-131-0,31,A_to_B,31,131,234,103,,,,,
generate,6.250,case3-75-175-0,75,A_to_B,75,175,234,103,,,,,
generate,6.250,case3-76-176-0,76,A_to_B,76,176,234,359,,,,,
generate,6.250,case3-77-177-0,77,A_to_B,77,177,234,383,,,,,
generate,6.250,case3-78-178-0,78,A_to_B,78,178,353,79,,,,,
generate,6.250,case3-79-179-0,79,A_to_B,79,179,234,103,,,,,
generate,6.250,case3-80-180-0,80,A_to_B,80,180,234,359,,,,,
generate,6.250,case3-81-181-0,81,A_to_B,81,181,234,383,,,,,
generate,6.250,case3-125-25-0,25,B_to_A,125,25,383,234,,,,,
generate,6.250,case3-126-26-0,26,B_to_A,126,26,383,353,,,,,
generate,6.250,case3-127-27-0,27,B_to_A,127,27,103,234,,,,,
generate,6.250,case3-128-28-0,28,B_to_A,128,28,359,234,,,,,
generate,6.250,case3-129-29-0,29,B_to_A,129,29,383,234,,,,,
generate,6.250,case3-130-30-0,30,B_to_A,130,30,79,353,,,,,
generate,6.250,case3-131-31-0,31,B_to_A,131,31,103,234,,,,,
generate,6.250,case3-177-77-0,77,B_to_A,177,77,383,234,,,,,
generate,6.250,case3-178-78-0,78,B_to_A,178,78,79,353,,,,,
generate,6.250,case3-179-79-0,79,B_to_A,179,79,103,234,,,,,
generate,6.250,case3-180-80-0,80,B_to_A,180,80,359,234,,,,,
generate,6.250,case3-181-81-0,81,B_to_A,181,81,383,234,,,,,
arrival,6.300,case3-28-128-0,28,A_to_B,28,128,,359,63.678,6,8,234 259 284 309 334 359,
arrival,6.300,case3-76-176-0,76,A_to_B,76,176,,359,63.582,6,8,234 259 284 309 334 359,
